Country,LAT,LONG,ALT_NAME,FULL_NAME,2000 Female,2000 Male,2010 Female,2010 Male,2012 Female,2012 Male,2013 Female,2013 Male,2015 Female,2015 Male
Russia,60,100,Russia,Russian Federation,20,26.3,10.5,13.4,9.1,11.5,8.9,11.2,8.4,10.6
Rwanda,-2,30,Rwanda,Republic of Rwanda,174.5,192.7,59.4,68.6,50.8,59,48,56,37.8,45.4
Saint Kitts and Nevis,17.333333,-62.75,Saint Kitts and Nevis,Federation of Saint Kitts and Nevis,16.7,20.3,11.3,13.7,8.3,10,9.2,11.1,9.6,11.4
Saint Lucia,13.883333,-60.966667,Saint Lucia,Saint Lucia,16,19.6,14.5,17.6,15.5,19.4,13,15.9,12.8,15.6
Saint Vincent and the Grenadines,13.083333,-61.2,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,20.1,24.2,18.7,22.7,21.2,25.4,17.1,20.7,16.5,20
Samoa,-13.803096,-172.178309,Samoa,Independent State of Samoa,19.7,23.5,16.9,20.3,16.1,19.4,16.3,19.7,15.8,19
San Marino,43.933333,12.416667,San Marino,Republic of San Marino,5,6,3.2,3.8,3,3.5,2.8,3.4,2.6,3.1
Sao Tome and Principe,1,7,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,83.9,-9999,51.9,60.7,48.7,57.5,46.7,55.1,43,51.5
Saudi Arabia,25,45,Saudi Arabia,Kingdom of Saudi Arabia,21.3,24.3,15.9,18.1,7.9,9.3,14.5,16.6,13.6,15.5
Senegal,14,-14,Senegal,Republic of Senegal,128.6,140.9,59.8,69.6,54.5,64.5,50.1,60.1,44.3,54
Serbia,44,21,Serbia,Republic of Serbia,11.2,13.9,6.8,8.4,6,7.3,6,7.3,6,7.3
Seychelles,-4.583333,55.666667,Seychelles,Republic of Seychelles,13.1,15.3,13,15.3,12,14.1,13,15.2,12.4,14.6
Sierra Leone,8.5,-11.5,Sierra Leone,Republic of Sierra Leone,224.8,246,151.5,168.4,172.9,190,151.9,168.7,113.1,127.3
Singapore,1.366667,103.8,Singapore,Republic of Singapore,3.6,4.3,2.6,3.1,2.6,3.1,2.5,3,2.5,2.9
Slovakia,48.666667,19.5,Slovakia,Slovak Republic,10.5,12.9,7.5,9.2,6.7,8.2,6.5,7.9,6.6,8
Slovenia,46.25,15.166667,Slovenia,Republic of Slovenia,5,6,3,3.6,2.8,3.4,2.6,3.2,2.3,2.8
Solomon Islands,-8,159,Solomon Islands,Solomon Islands,30.2,36,29.1,34.9,27.7,34.4,27.2,32.9,25.5,30.7
Somalia,6,48,Somalia,Somalia,166.6,181.6,152.8,167,140.7,153.8,138.7,151.8,130.2,143.4
South Africa,-30,26,South Africa,South Africa,68.9,81.3,48.8,58.7,40,49.1,39.3,48.3,37.3,46.5
South Sudan,8,30,South Sudan,Republic of South Sudan,174.1,190.1,105,116.3,98.4,109.2,93.8,104.3,87.1,97.5
Spain,40,-4,Spain,Kingdom of Spain,5.9,7,4.3,5,4.1,4.8,3.8,4.5,3.8,4.4
Sri Lanka,7,81,Sri Lanka,Democratic Socialist Republic of Sri Lanka,14.9,17.7,9.9,11.9,8.8,10.4,8.8,10.4,8.8,10.7
West Bank,31.666667,35.25,West Bank,State of Palestine,27.4,32,21.7,25.7,20.7,24.4,19.9,23.6,19.3,22.9
Sudan,16,30,Sudan,Republic of the Sudan,99.8,111.9,74.9,85.3,67.3,78.6,71.5,81.4,65.1,74.8
Suriname,4,-56,Suriname,Republic of Suriname,30.4,38.4,21.9,27.7,18.2,23.2,20,25.4,18.7,23.8
Swaziland,-26.5,31.5,Swaziland,Kingdom of Swaziland,121.1,135.2,83,93.6,74.5,84.5,74.9,85,55.9,65.2
Sweden,62,15,Sweden,Kingdom of Sweden,3.7,4.5,2.8,3.3,2.6,3.2,2.7,3.3,2.7,3.3
Switzerland,47,8,Switzerland,Swiss Confederation,5,6.2,4.1,4.9,3.9,4.7,3.8,4.6,3.6,4.3
Syria,35,38,Syria,Syrian Arab Republic,20.9,25.6,13.7,16.8,13.5,16.5,13.2,16,11.6,14.1
Tajikistan,39,71,Tajikistan,Republic of Tajikistan,84.7,100.9,46.8,58,52.2,64.1,42.4,52.8,39.7,49.7
Thailand,15,100,Thailand,Kingdom of Thailand,19.2,25.5,12.5,16.3,11.4,15,11.3,14.7,10.7,13.8
Macedonia,41.833333,22,Macedonia,The former Yugoslav Republic of Macedonia,14.8,17.1,9.1,10.6,6.9,-9999,6.1,7,5.1,5.8
Timor-Leste,-8.833333,125.75,Timor-Leste,Democratic Republic of Timor-Leste,104.1,116.1,59,68.4,51.7,61.6,49.6,59.3,48.2,56.7
Togo,8,1.166667,Togo,Togolese Republic,111.5,129.5,84,97.5,88.7,102.1,78.3,90.7,72.1,84.4
