Country,LAT,LONG,ALT_NAME,FULL_NAME,2000_Female,2010_Female,2012_Female,2013_Female,2015_Female
Swaziland,-26.5,31.5,Swaziland,Kingdom of Swaziland,121.1,83,74.5,74.9,55.9
Sweden,62,15,Sweden,Kingdom of Sweden,3.7,2.8,2.6,2.7,2.7
Switzerland,47,8,Switzerland,Swiss Confederation,5,4.1,3.9,3.8,3.6
Syria,35,38,Syria,Syrian Arab Republic,20.9,13.7,13.5,13.2,11.6
Tajikistan,39,71,Tajikistan,Republic of Tajikistan,84.7,46.8,52.2,42.4,39.7
Thailand,15,100,Thailand,Kingdom of Thailand,19.2,12.5,11.4,11.3,10.7
Macedonia,41.833333,22,Macedonia,The former Yugoslav Republic of Macedonia,14.8,9.1,6.9,6.1,5.1
Timor-Leste,-8.833333,125.75,Timor-Leste,Democratic Republic of Timor-Leste,104.1,59,51.7,49.6,48.2
Togo,8,1.166667,Togo,Togolese Republic,111.5,84,88.7,78.3,72.1
Tonga,-20,-175,Tonga,Kingdom of Tonga,19.4,19.1,11.4,10.8,18.4
Trinidad and Tobago,11,-61,Trinidad and Tobago,Republic of Trinidad and Tobago,25.8,21.2,18.5,19.1,18.2
Tunisia,34,9,Tunisia,Tunisian Republic,28.7,15.7,14.6,13.9,12.7
Turkey,39.059012,34.911546,Turkey,Republic of Turkey,36.8,17.5,12.8,17.4,12.4
Turkmenistan,40,60,Turkmenistan,Turkmenistan,70.6,51.4,45.1,47.3,43.9
Tuvalu,-8,178,Tuvalu,Tuvalu,39.3,28.8,26.8,26.3,24.6
Uganda,2,33,Uganda,Republic of Uganda,136.5,68.2,62.4,59.7,49.1
Ukraine,49,32,Ukraine,Ukraine,16.4,10.5,9.4,8.9,8.1
United Arab Emirates,24,54,United Arab Emirates,United Arab Emirates,9.8,7.6,7.5,7.3,6.1
United Kingdom,54,-4,United Kingdom,United Kingdom of Great Britain and Northern Ireland,5.8,4.7,4.3,4.1,3.8
Tanzania,-6,35,Tanzania,United Republic of Tanzania,124.9,59.4,50.2,48.1,45
United States,39.828175,-98.5795,United States,United States of America,7.6,6.7,6.4,6.2,5.9
Uruguay,-33,-56,Uruguay,Oriental Republic of Uruguay,14.9,11.1,6.5,10,9.1
Uzbekistan,41.707542,63.84911,Uzbekistan,Republic of Uzbekistan,55.5,40,33.9,36.8,33.9
Vanuatu,-16,167,Vanuatu,Republic of Vanuatu,25.9,26.1,16,15,25.2
Venezuela,8,-66,Venezuela,Bolivarian Republic of Venezuela,19,14.6,13.4,13.2,13.2
Vietnam,16.166667,107.833333,Vietnam,Socialist Republic of Vietnam,29.2,21.3,19.9,20.5,18.7
Yemen,15.5,47.5,Yemen,Republic of Yemen,90.6,50.2,55.5,47.1,38.3
Zambia,-15,30,Zambia,Republic of Zambia,154,76.2,82.8,81.5,58.9
Zimbabwe,-19,29,Zimbabwe,Republic of Zimbabwe,98.4,83,83,81.8,64.9
